rcid,session,vote,ccode,Country,CABB
5310,68,8,404,Guinea-Bissau,GNB
5310,68,8,403,Sao Tome and Principe,STP
5310,68,1,341,Montenegro,MNG
5310,68,2,343,Macedonia,MAC
5310,68,8,811,Cambodia,CAM
5310,68,3,812,Laos,LAO
5310,68,1,349,Slovenia,SLV
5310,68,3,816,Viet Nam,DRV
5310,68,8,678,Yemen,YEM
5310,68,8,522,Djibouti,DJI
5310,68,1,670,Saudi Arabia,SAU
5310,68,2,712,Mongolia,MON
5310,68,2,710,China,CHN
5310,68,1,260,Germany,GMY
5310,68,8,420,Gambia,GAM
5310,68,1,986,Palau,PAL
5310,68,1,58,Antigua & Barbuda,AAB
5310,68,2,55,Grenada,GRN
5310,68,1,54,Dominica,DMA
5310,68,1,57,St. Vincent and the Grenadines,SVG
5310,68,1,56,St. Lucia,SLU
5310,68,2,51,Jamaica,JAM
5310,68,2,53,Barbados,BAR
5310,68,2,52,Trinidad and Tobago,TRI
5310,68,8,411,Equatorial Guinea,EQG
5310,68,2,531,Eritrea,ERI
5310,68,2,530,Ethiopia (new),ETH
5310,68,3,371,Armenia,ARM
5310,68,3,370,Belarus,BLR
5310,68,1,373,Azerbaijan,AZE
5310,68,1,372,Georgia,GRG
5310,68,1,375,Finland,FIN
5310,68,2,820,Malaysia,MAL
5310,68,1,290,Poland,POL
5310,68,8,591,Seychelles,SEY
5310,68,1,590,Mauritius,MAS
5310,68,2,704,Uzbekistan,UZB
5310,68,2,705,Kazakhstan,KZK
5310,68,1,310,Hungary,HUN
5310,68,1,317,Slovakia,SLO
5310,68,1,316,Czech Republic,CZR
5310,68,8,702,Tajikistan,TAJ
5310,68,2,703,Kyrgyzstan,KYR
5310,68,2,115,Suriname,SUR
5310,68,1,390,Denmark,DEN
5310,68,2,110,Guyana,GUY
5310,68,1,395,Iceland,ICE
5310,68,2,771,Bangladesh,BNG
5310,68,1,80,Belize,BLZ
5310,68,2,830,Singapore,SIN
5310,68,2,790,Nepal,NEP
5310,68,8,520,Somalia,SOM
5310,68,1,368,Lithuania,LIT
5310,68,1,369,Ukraine,UKR
5310,68,1,366,Estonia,EST
5310,68,1,367,Latvia,LAT
5310,68,3,365,Russian Federation,RUS
5310,68,1,910,Papua New Guinea,PNG
5310,68,1,360,Romania,ROM
5310,68,2,580,Madagascar,MAG
5310,68,8,581,Comoros,COM
5310,68,1,305,Austria,AUS
5310,68,1,380,Sweden,SWD
5310,68,1,920,New Zealand,NEW
5310,68,1,385,Norway,NOR
5310,68,2,95,Panama,PAN
5310,68,2,696,United Arab Emirates,UAE
5310,68,2,100,Colombia,COL
5310,68,8,101,Venezuela,VEN
5310,68,1,900,Australia,AUL
5310,68,3,780,Sri Lanka,SRI
5310,68,8,781,Maldives,MAD
5310,68,2,840,Philippines,PHI
5310,68,1,31,Bahamas,BHM
5310,68,8,955,Tonga,TON
5310,68,2,640,Turkey,TUR
5310,68,2,645,Iraq,IRQ
5310,68,2,438,Guinea,GUI
5310,68,2,439,Burkina Faso,BFO
5310,68,2,436,Niger,NIR
5310,68,8,437,Cote d'Ivoire,CDI
5310,68,2,434,Benin,BEN
5310,68,8,435,Mauritania,MAA
5310,68,2,432,Mali,MLI
5310,68,2,433,Senegal,SEN
5310,68,8,517,Rwanda,RWA
5310,68,1,516,Burundi,BUI
5310,68,2,620,Libya,LIB
5310,68,1,339,Albania,ALB
5310,68,1,338,Malta,MLT
5310,68,3,625,Sudan,SUD
5310,68,1,450,Liberia,LBR
5310,68,1,451,Sierra Leone,SIE
5310,68,8,452,Ghana,GHA
5310,68,2,570,Lesotho,LES
5310,68,1,331,San Marino,SNM
5310,68,8,60,St. Kitts and Nevis,SKN
5310,68,8,541,Mozambique,MZM
5310,68,2,850,Indonesia,INS
5310,68,3,970,Nauru,NAU
5310,68,2,540,Angola,ANG
5310,68,3,731,North Korea,PRK
5310,68,1,2,United States of America,USA
5310,68,3,652,Syria,SYR
5310,68,2,651,Egypt,EGY
5310,68,8,500,Uganda,UGA
5310,68,1,402,Cape Verde,CAP
5310,68,2,630,Iran,IRN
5310,68,8,510,Tanzania,TAZ
5310,68,2,750,India,IND
5310,68,2,560,South Africa,SAF
5310,68,8,700,Afghanistan,AFG
5310,68,2,461,Togo,TOG
5310,68,2,565,Namibia,NAM
5310,68,8,701,Turkmenistan,TKM
5310,68,1,987,"Micronesia, Federated States of",FSM
5310,68,1,91,Honduras,HON
5310,68,2,165,Uruguay,URU
5310,68,2,225,Switzerland,SWZ
5310,68,2,92,El Salvador,SAL
5310,68,1,223,Liechtenstein,LIE
5310,68,1,94,Costa Rica,COS
5310,68,1,221,Monaco,MNC
5310,68,1,220,France,FRN
5310,68,2,860,East Timor,ETM
5310,68,1,935,Vanuatu,VAN
5310,68,1,947,Tuvalu,TUV
5310,68,2,501,Kenya,KEN
5310,68,1,740,Japan,JPN
5310,68,2,150,Paraguay,PAR
5310,68,2,155,Chile,CHL
5310,68,2,600,Morocco,MOR
5310,68,2,551,Zambia,ZAM
5310,68,2,553,Malawi,MAW
5310,68,8,552,Zimbabwe,ZIM
5310,68,1,235,Portugal,POR
5310,68,1,230,Spain,SPN
5310,68,1,232,Andorra,AND
5310,68,1,990,Samoa,WSM
5310,68,2,950,Fiji,FIJ
5310,68,2,42,Dominican Republic,DOM
5310,68,3,40,Cuba,CUB
5310,68,1,41,Haiti,HAI
5310,68,1,325,Italy,ITA
5310,68,3,775,Myanmar,MYA
5310,68,1,200,United Kingdom,UKG
5310,68,8,145,Bolivia,BOL
5310,68,1,205,Ireland,IRE
5310,68,2,770,Pakistan,PAK
5310,68,2,140,Brazil,BRA
5310,68,2,475,Nigeria,NIG
5310,68,2,616,Tunisia,TUN
5310,68,2,615,Algeria,ALG
5310,68,1,70,Mexico,MEX
5310,68,2,484,Congo,CON
5310,68,2,483,Chad,CHA
5310,68,1,482,Central African Republic,CEN
5310,68,2,481,Gabon,GAB
5310,68,1,946,Kiribati,KIR
5310,68,2,732,South Korea,ROK
5310,68,2,835,Brunei Darussalam,BRU
5310,68,1,940,Solomon Islands,SOL
5310,68,1,355,Bulgaria,BUL
5310,68,8,471,Cameroon,CAO
5310,68,2,352,Cyprus,CYP
5310,68,1,350,Greece,GRC
5310,68,2,800,Thailand,THI
5310,68,8,572,Swaziland,SWA
5310,68,1,359,Moldova,MLD
5309,68,1,212,Luxembourg,LUX
5309,68,1,210,Netherlands,NTH
5309,68,1,211,Belgium,BEL
5309,68,1,983,Marshall Islands,MSI
5309,68,8,666,Israel,ISR
5309,68,1,760,Bhutan,BHU
5309,68,1,663,Jordan,JOR
5309,68,8,660,Lebanon,LEB
5309,68,2,130,Ecuador,ECU
5309,68,1,135,Peru,PER
5309,68,1,90,Guatemala,GUA
5309,68,2,571,Botswana,BOT
5309,68,1,490,Democratic Republic of the Congo,DRC
5309,68,3,93,Nicaragua,NIC
5309,68,2,626,South Sudan,SSD
